大分類,中分類,項目ID,評価項目名,説明文,example.com,test.example.com,dev.example.org
H_DNS環境可視化・関連性,H3_利用実態・トラフィック分析,H3-1,DNSクエリ量利用パターン分析,DNSクエリ量・利用パターンの分析。時間帯別・種別別分析。,中程度_1日10万クエリ,低_テスト用途,高トラフィック_Auto Scaling
H_DNS環境可視化・関連性,H3_利用実態・トラフィック分析,H3-2,地理的アクセス分布,DNSクエリの地理的アクセス分布・国別・地域別分析。,国内中心_一部海外,同上,グローバル_複数リージョン
H_DNS環境可視化・関連性,H3_利用実態・トラフィック分析,H3-3,ピーク時オフ時負荷変動,ピーク時・オフ時の負荷変動パターン・スケーラビリティ対応。,平日ピーク_夜間低下,同上,動的スケーリング
H_DNS環境可視化・関連性,H3_利用実態・トラフィック分析,H3-4,モバイルデスクトップ別アクセス特性,モバイル・デスクトップ別のアクセス特性・DNSキャッシュ影響。,PC中心_モバイル20%,同上,モバイル最適化_CloudFront
H_DNS環境可視化・関連性,H3_利用実態・トラフィック分析,H3-5,異常クエリ攻撃パターン検知,異常なDNSクエリ・攻撃パターンの**詳細分析・特定攻撃対策**。DDoS・増幅攻撃等の具体的対策。※C3-3は基本検知機能を評価,基本検知_閾値監視,無し,AWS WAF_完全保護
H_DNS環境可視化・関連性,H3_利用実態・トラフィック分析,H3-6,キャッシュ効果TTL最適化状況,DNSキャッシュ効果・TTL最適化状況の分析・調整。,デフォルト設定_最適化余地,同上,AI最適化_Route53
H_DNS環境可視化・関連性,H4_依存関係・影響範囲,H4-1,上流下流依存関係,アップストリーム・ダウンストリームシステムとの依存関係マップ。DNS名前解決の流れ図：上流（権威DNSサーバ・レジストラ・ISP）→DNS→下流（Webサーバ・アプリサーバ・DBサーバ等）の依存関係可視化。,上流_ISP_下流_Webサーバ群,同上,完全マップ_X-Ray
H_DNS環境可視化・関連性,H4_依存関係・影響範囲,H4-2,単一点障害SPOF特定,単一点障害（Single Point of Failure）の特定・リスク評価。,有り_単一DNS,同上,無し_クラウドネイティブ
H_DNS環境可視化・関連性,H4_依存関係・影響範囲,H4-3,障害時影響範囲ユーザ影響度,DNS障害時の影響範囲・ユーザ影響度の**実績評価・定量化**。実際のパフォーマンス。※D3-3,D3-4は目標設定、G2-3は技術実装,中影響度_1時間以内復旧目標,同上,高可用性_99.99%
H_DNS環境可視化・関連性,H4_依存関係・影響範囲,H4-4,災害復旧DR時DNS切替計画,災害復旧（DR）時のDNS切替計画・手順・テスト実施。,無し_計画策定予定,同上,完全自動_Auto Scaling
H_DNS環境可視化・関連性,H4_依存関係・影響範囲,H4-5,メンテナンス時影響最小化対策,メンテナンス時の影響最小化対策・ゼロダウンタイム実現。,営業時間_影響最小化,同上,完全自動_災害復旧
H_DNS環境可視化・関連性,H4_依存関係・影響範囲,H4-6,他システム連鎖障害リスク,DNS障害による他システムへの連鎖障害リスクの評価・対策。,有り_DB・メール連鎖リスク,同上,ゼロダウンタイム_自動切替
I_DNS環境統合・標準化,I1_標準化・ガバナンス,I1-1,ドメイン命名規則標準化状況,組織全体でのドメイン命名規則・標準化状況。一貫性確保。,部分実装_主要ドメインのみ,同上,自動影響分析_予測
I_DNS環境統合・標準化,I1_標準化・ガバナンス,I1-2,DNSサーバ構成標準テンプレート,DNSサーバ構成・設定の標準テンプレート・ひな形整備。※I1-1は命名規則、I1-4は運用手順の標準化を評価。,無し_検討予定,同上,完全標準化_企業全体
I_DNS環境統合・標準化,I1_標準化・ガバナンス,I1-3,セキュリティポリシー統一状況,DNS関連セキュリティポリシーの統一・標準化状況。,部分統一_ベースライン策定中,同上,標準テンプレート_全社適用
I_DNS環境統合・標準化,I1_標準化・ガバナンス,I1-4,運用手順プロセス標準化,DNS運用手順・プロセスの標準化・統一状況。,部分標準化_手順統一中,同上,統一ポリシー_全社標準
I_DNS環境統合・標準化,I1_標準化・ガバナンス,I1-5,設定管理バージョン管理統一,DNS設定管理・バージョン管理の統一・標準化。,部分統一_Git一部導入,同上,完全標準化_DevOps
I_DNS環境統合・標準化,I1_標準化・ガバナンス,I1-6,監査コンプライアンス対応,DNS関連の監査・コンプライアンス対応・証跡管理。,基本対応_年次監査,同上,完全統一_GitOps
I_DNS環境統合・標準化,I2_統合・移行計画,I2-1,DNS環境統合集約計画,分散したDNS環境の統合・集約計画・ロードマップ。,無し_現状維持,同上,完全対応_SOC準拠
I_DNS環境統合・標準化,I2_統合・移行計画,I2-2,レガシーシステム移行対応,レガシーDNSシステムの移行・廃止計画・影響評価。,無し_レガシー継続,同上,完全統合計画_進行中
I_DNS環境統合・標準化,I2_統合・移行計画,I2-3,クラウドマイグレーション計画,クラウドDNS（AWS Route53等）への移行計画・段階的実施。,検討中_AWS移行計画,同上,クラウドネイティブ_完了
I_DNS環境統合・標準化,I2_統合・移行計画,I2-4,事業者統合変更リスク,DNS事業者統合・変更時のリスク評価・軽減対策。,低リスク_単一ベンダー,同上,完全移行_AWS Well-Architected
I_DNS環境統合・標準化,I2_統合・移行計画,I2-5,段階的移行リスク管理,段階的移行時のリスク管理・ロールバック計画。,無し_段階計画策定予定,同上,無し_AWSネイティブ
I_DNS環境統合・標準化,I2_統合・移行計画,I2-6,移行後運用体制見直し,移行後の運用体制・責任分担・スキル要件見直し。,無し_体制維持,同上,完全自動化_段階的
I_DNS環境統合・標準化,I3_将来性・拡張性,I3-1,IPv6対応状況計画,IPv6対応状況・移行計画・デュアルスタック対応。,対応済み_AAAA,同上,完全最適化_継続改善
I_DNS環境統合・標準化,I3_将来性・拡張性,I3-2,新技術DoHDoT対応計画,新技術（DoH・DoT・DNS over QUIC等）対応計画・評価。,検討中_DoH試験導入,同上,完全対応_IPv6
I_DNS環境統合・標準化,I3_将来性・拡張性,I3-3,事業拡大スケーラビリティ,事業拡大に伴うDNSスケーラビリティ・容量計画。,対応予定_サーバ増強,同上,完全対応_DoH・DoT
I_DNS環境統合・標準化,I3_将来性・拡張性,I3-4,グローバル展開DNS戦略,グローバル展開時のDNS戦略・地域分散・パフォーマンス最適化。,無し_国内展開のみ,同上,Auto Scaling_無制限
I_DNS環境統合・標準化,I3_将来性・拡張性,I3-5,セキュリティ脅威将来対応,将来のセキュリティ脅威に対するDNS対応・量子暗号・ゼロトラスト等。,基本対応_パッチ管理,同上,グローバル展開_完全対応
I_DNS環境統合・標準化,I3_将来性・拡張性,I3-6,次世代DNS技術評価導入検討,次世代DNS技術（AI・機械学習活用等）の評価・導入検討。,無し_現技術継続,同上,AI・ML_継続改善
評価サマリー,評価サマリー,総合評価,総合評価点数,168項目の総合評価点数（100点満点）,78点,45点,95点
評価サマリー,評価サマリー,リスクレベル,総合リスクレベル,リスク評価（高・中・低リスク）,中リスク,低リスク,低リスク
評価サマリー,評価サマリー,優先対応事項,優先対応事項,最優先で対応すべき課題・改善事項,DNSSEC対応・冗長化強化,本番環境への適用検討,AI予測_継続進化
評価サマリー,評価サマリー,備考,備考欄,特記事項・補足情報・今後の計画等,単一点障害・セキュリティ強化要,テスト環境_影響限定,継続最適化・AI活用推進
