項目分類,項目ID,評価項目名,説明文,記入例_サーバ001,記入例_サーバ002,記入例_サーバ003
I_DNS環境統合・標準化,I1-3,セキュリティポリシー統一状況,セキュリティポリシーの統一状況。アクセス制御・認証・監査ポリシーの標準化。,ポリシー未統一,基本統一,完全統一管理
I_DNS環境統合・標準化,I1-4,運用手順プロセス標準化,運用手順・プロセスの標準化状況。作業手順・承認フロー・監視プロセスの統一。,手順未統一,基本標準化,プロセス完全統一
I_DNS環境統合・標準化,I1-5,設定管理バージョン管理統一,設定管理・バージョン管理の統一。Infrastructure as Code・自動化・変更管理統一。,管理未統一,基本統一,完全自動統一
I_DNS環境統合・標準化,I1-6,監査コンプライアンス対応,監査・コンプライアンス対応の統一状況。ログ管理・証跡管理・規制対応の標準化。,個別対応,基本統一,完全コンプライアンス統一
I_DNS環境統合・標準化,I2-1,DNS環境統合集約計画,DNS環境の統合・集約計画。複数DNS環境の集約・効率化・管理統一。,統合計画なし,基本統合計画,段階的統合実行
I_DNS環境統合・標準化,I2-2,レガシーシステム移行対応,レガシーシステムの移行対応。旧システムからの段階的移行・リスク管理。,移行計画なし,基本移行計画,詳細移行ロードマップ
I_DNS環境統合・標準化,I2-3,クラウドマイグレーション計画,クラウドマイグレーション計画。オンプレからクラウドへの移行・ハイブリッド化。,移行計画なし,クラウド移行検討中,段階的移行実行中
I_DNS環境統合・標準化,I2-4,事業者統合変更リスク,DNS事業者の統合・変更リスク管理。ベンダー変更・サービス移行・影響評価。,リスク未評価,基本リスク管理,詳細リスク対策
I_DNS環境統合・標準化,I2-5,段階的移行リスク管理,段階的移行のリスク管理。フェーズ別リスク・ロールバック計画・影響最小化。,リスク管理なし,基本リスク管理,高度リスク管理
I_DNS環境統合・標準化,I2-6,移行後運用体制見直し,移行後の運用体制見直し。組織変更・スキル要件・プロセス改善。,体制見直しなし,基本体制見直し,最適体制構築
I_DNS環境統合・標準化,I3-1,IPv6対応状況計画,IPv6対応の状況・計画。デュアルスタック・IPv6移行・将来対応準備。,IPv6未対応,IPv6対応検討中,IPv6対応済み
I_DNS環境統合・標準化,I3-2,新技術DoHDoT対応計画,新技術（DoH・DoT等）の対応計画。DNS over HTTPS・DNS over TLS・プライバシー強化。,新技術未対応,新技術検討中,新技術導入済み
I_DNS環境統合・標準化,I3-3,事業拡大スケーラビリティ,事業拡大に伴うスケーラビリティ対応。負荷増大・地理的拡大・サービス拡張への対応。,スケール未考慮,基本スケール対応,自動スケール対応
I_DNS環境統合・標準化,I3-4,グローバル展開DNS戦略,グローバル展開時のDNS戦略。多国展開・地域最適化・現地規制対応。,国内展開のみ,グローバル展開検討,グローバルDNS戦略
I_DNS環境統合・標準化,I3-5,セキュリティ脅威将来対応,セキュリティ脅威への将来対応。新しい攻撃手法・脅威情報・対策技術の導入。,現状対応のみ,基本将来対応,先進セキュリティ対応
I_DNS環境統合・標準化,I3-6,次世代DNS技術評価導入検討,次世代DNS技術の評価・導入検討。新プロトコル・新機能・次世代アーキテクチャの検証。,次世代技術未検討,技術評価中,先進技術導入検討
評価指標,総合評価,総合評価点数,DNS環境の総合評価点数（100点満点）,72点,45点,95点
評価指標,リスクレベル,リスク評価レベル,DNS環境のリスクレベル評価（高・中・低）,中リスク,高リスク,低リスク
評価指標,優先対応事項,優先対応すべき課題,最優先で対応すべき課題・改善項目,冗長化・DNSSEC対応,単一点障害解消・監視強化,コスト最適化・運用効率化
評価指標,備考,追加情報・特記事項,その他の特記事項・補足情報・将来計画等,単一点障害のリスク有り,管理体制要強化,高可用性・自動化達成済み
